video_path,label,duration,width,height,has_audio,has_video,size_bytes,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_1.mp4,1,94.976,854,480,True,True,2175556,0.15829333333333334,0.44479166666666664,0.4444444444444444,0.04351112,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_10.mp4,1,38.44,480,480,True,True,813669,0.06406666666666666,0.25,0.4444444444444444,0.01627338,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_100.mp4,1,129.16,600,480,True,True,2594786,0.21526666666666666,0.3125,0.4444444444444444,0.05189572,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_101.mp4,1,97.833333,480,480,True,True,1763308,0.163055555,0.25,0.4444444444444444,0.03526616,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_102.mp4,1,121.024,854,480,True,True,2083164,0.20170666666666667,0.44479166666666664,0.4444444444444444,0.04166328,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_103.mp4,1,19.102417,854,480,True,True,785600,0.03183736166666667,0.44479166666666664,0.4444444444444444,0.015712,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_104.mp4,1,414.82449,768,432,True,True,33933295,0.69137415,0.4,0.4,0.6786659,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_105.mp4,1,103.103,854,480,True,True,3377195,0.17183833333333332,0.44479166666666664,0.4444444444444444,0.0675439,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_106.mp4,1,234.59,640,480,True,True,4353386,0.39098333333333335,0.3333333333333333,0.4444444444444444,0.08706772,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_107.mp4,1,627.774694,640,360,True,True,27054908,1.0,0.3333333333333333,0.3333333333333333,0.54109816,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_108.mp4,1,1.6,502,480,False,True,39916,0.002666666666666667,0.26145833333333335,0.4444444444444444,0.00079832,0.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_109.mp4,1,225.663979,360,480,True,True,3008275,0.3761066316666667,0.1875,0.4444444444444444,0.0601655,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_11.mp4,1,32.407,854,480,True,True,2273878,0.05401166666666666,0.44479166666666664,0.4444444444444444,0.04547756,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_110.mp4,1,46.277007,222,480,True,True,1738965,0.077128345,0.115625,0.4444444444444444,0.0347793,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_111.mp4,1,35.386009,640,480,True,True,737457,0.05897668166666667,0.3333333333333333,0.4444444444444444,0.01474914,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_112.mp4,1,182.398,292,360,True,True,3398691,0.30399666666666664,0.15208333333333332,0.3333333333333333,0.06797382,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_113.mp4,1,170.861995,480,480,True,True,3021904,0.28476999166666667,0.25,0.4444444444444444,0.06043808,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_114.mp4,1,628.778,640,480,True,True,36684024,1.0,0.3333333333333333,0.4444444444444444,0.73368048,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_115.mp4,1,110.4103,854,480,True,True,3571128,0.18401716666666668,0.44479166666666664,0.4444444444444444,0.07142256,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_116.mp4,1,87.189002,270,480,True,True,5532393,0.14531500333333333,0.140625,0.4444444444444444,0.11064786,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_117.mp4,1,23.104,854,480,True,True,596654,0.03850666666666667,0.44479166666666664,0.4444444444444444,0.01193308,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_118.mp4,1,171.442993,480,480,True,True,2862647,0.2857383216666667,0.25,0.4444444444444444,0.05725294,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_119.mp4,1,236.314667,452,264,True,True,6329536,0.3938577783333333,0.23541666666666666,0.24444444444444444,0.12659072,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_12.mp4,1,188.778005,854,480,True,True,9003170,0.3146300083333333,0.44479166666666664,0.4444444444444444,0.1800634,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_120.mp4,1,133.461333,768,576,True,True,22297441,0.222435555,0.4,0.5333333333333333,0.44594882,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_121.mp4,1,199.203991,640,480,True,True,3542557,0.33200665166666665,0.3333333333333333,0.4444444444444444,0.07085114,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_122.mp4,1,165.92,854,480,True,True,2623830,0.2765333333333333,0.44479166666666664,0.4444444444444444,0.0524766,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_123.mp4,1,22.848,854,480,True,True,1643974,0.038079999999999996,0.44479166666666664,0.4444444444444444,0.03287948,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_124.mp4,1,42.538,854,480,True,True,1773455,0.07089666666666666,0.44479166666666664,0.4444444444444444,0.0354691,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_125.mp4,1,129.706,854,480,True,True,2372703,0.21617666666666666,0.44479166666666664,0.4444444444444444,0.04745406,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_126.mp4,1,104.471138,854,480,True,True,2131858,0.17411856333333334,0.44479166666666664,0.4444444444444444,0.04263716,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_127.mp4,1,234.902,360,480,True,True,3132973,0.3915033333333333,0.1875,0.4444444444444444,0.06265946,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_128.mp4,1,674.910998,270,480,True,True,26015070,1.0,0.140625,0.4444444444444444,0.5203014,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_129.mp4,1,170.365011,854,480,True,True,12504197,0.283941685,0.44479166666666664,0.4444444444444444,0.25008394,1.0,1.0
/home/voldmart/self_dec_hate/guard_binary_dataset/hate_videos/hate_video_13.mp4,1,185.834,854,480,True,True,3833976,0.30972333333333335,0.44479166666666664,0.4444444444444444,0.07667952,1.0,1.0
